id,nom,categorie,sous_categorie,categorie_v1,sous_categorie_v1,ville_region,adresse,telephone,latitude,longitude,source,statut_verification
14,Djibouti Palace Kempinski,Hébergement,Hôtel de luxe (4-5*),hebergement,hotel 5 etoiles,Djibouti-ville,Ilot du Heron,+253 21 32 55 55,11.6174963,43.1458191,google_places,geolocalise
15,Ras Dika Hotel,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Rue d'Ethiopie,,11.5927527,43.1458048,google_places,geolocalise
16,Red Sea Hotel Apartment,Hébergement,Appart-hôtel / résidence,hebergement,appart-hotel,Djibouti-ville,Gabode,+253 21 25 14 14,11.5672077,43.1503383,google_places,geolocalise
17,Best Western Premier DJ Hotel,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Place Lagarde,+253 21 33 10 00,11.595883,43.1471756,google_places,geolocalise
18,Escale International Hotel,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Marabout,+253 21 25 78 88,11.6058317,43.1443258,google_places,geolocalise
19,Sheraton Djibouti,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Plateau du Serpent,+253 21 32 80 00,11.6025059,43.1578917,google_places,geolocalise
20,Acacias Hotel,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,"Ilot du Heron, BP 4111",+253 21 32 78 60,11.6203308,43.1506805,google_places,geolocalise
21,Residence Lagon Bleu,Hébergement,Appart-hôtel / résidence,hebergement,residence hoteliere,Djibouti-ville,Rue Pierre Pascal,+253 21 35 58 21,11.595625,43.1462743,google_places,geolocalise
22,Hotel-Restaurant de Djibouti,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Avenue 13,+253 21 35 64 15,11.5883943,43.1456599,google_places,geolocalise
23,Gadileh Resort Hotel,Hébergement,Resort,hebergement,resort,Tadjourah,Gadileh Palm Villas,+253 27 42 45 45,11.7833573,42.8920974,google_places,geolocalise
24,Loubatanleh Hotel,Hébergement,Campement / écolodge,hebergement,ecolodge,Tadjourah,Region de Tadjourah,+253 77 29 29 94,11.794769,42.9644701,google_places,geolocalise
25,Hotel Le Golfe,Hébergement,Hôtel (standard),hebergement,hotel,Tadjourah,Front de mer,+253 77 84 65 98,11.7862625,42.8724219,google_places,geolocalise
26,Hotel Gobaad,Hébergement,Hôtel (standard),hebergement,hotel,Dikhil,RN1,+253 77 15 00 47,11.1073047,42.3512251,google_places,geolocalise
27,Grande Pharmacie de la Corne d'Afrique,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Rue de Marseille,+253 21 33 50 54,11.5954961,43.1481565,google_places,geolocalise
28,Pharmacie de l'Independance,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Rue d'Ethiopie,+253 21 35 26 30,11.5944464,43.1462016,google_places,geolocalise
29,Pharmacie Internationale,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Place Rimbaud,+253 21 35 23 73,11.5905002,43.1458891,google_places,geolocalise
30,Pharmacie de l'Ocean Indien,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,"Blvd du General de Gaulle, Q.3",+253 21 35 94 93,11.5878788,43.1520921,google_places,geolocalise
31,Pharmacie Dawo,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Rue de Bender,+253 77 78 01 01,11.5906375,43.1457409,google_places,geolocalise
32,Pharmacie Principale,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Rue d'Ethiopie,+253 21 34 18 83,11.5927064,43.1458095,google_places,geolocalise
33,La Pharmacie de la Cite,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Cite,,11.5884046,43.1402547,google_places,geolocalise
34,Pharmacie La Capitale,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,"Bd Hassan Gouled Q4, route d'Arta",+253 21 34 98 78,11.5853306,43.143385,google_places,geolocalise
35,Pharmacie Avicenne,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Centre-ville,+253 21 34 68 66,11.5884289,43.1455435,google_places,geolocalise
36,Pharmacie de la Mer Rouge,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Route de l'aeroport,+253 21 34 12 02,11.5593884,43.1481129,google_places,geolocalise
37,Banque Centrale de Djibouti,Services financiers & juridiques,Banque / agence bancaire,finance,banque centrale,Djibouti-ville,Rue de Geneve,+253 21 35 27 51,11.596259,43.1455718,google_places,geolocalise
38,CAC International Bank (siege),Services financiers & juridiques,Banque / agence bancaire,finance,banque commerciale,Djibouti-ville,Rue de Marseille,+253 21 35 63 63,11.595517,43.1473274,google_places,geolocalise
39,CAC International Bank (Bawadi Mall),Services financiers & juridiques,Banque / agence bancaire,finance,agence bancaire,Djibouti-ville,Bawadi Mall,,11.5909375,43.1325645,google_places,geolocalise
40,East Africa Bank,Services financiers & juridiques,Banque / agence bancaire,finance,banque commerciale,Djibouti-ville,"Place du 27 Juin, BP 2022",+253 21 31 19 00,11.5948481,43.1477124,google_places,geolocalise
41,Exim Bank Djibouti,Services financiers & juridiques,Banque / agence bancaire,finance,banque commerciale,Djibouti-ville,Ave Georges Clemenceau,+253 21 35 15 14,11.5940587,43.1465609,google_places,geolocalise
42,Commercial Bank of Djibouti,Services financiers & juridiques,Banque / agence bancaire,finance,banque commerciale,Djibouti-ville,"Plateau du Serpent, Rue Jean Jaures",+253 21 33 03 00,11.603544,43.152933,google_places,geolocalise
43,Bank of Africa - agence Aeroport,Services financiers & juridiques,Banque / agence bancaire,finance,agence bancaire,Djibouti-ville,Route de l'aeroport,+253 21 35 35 00,11.5601138,43.1541575,google_places,geolocalise
44,BCIMR - agence Harbi,Services financiers & juridiques,Banque / agence bancaire,finance,agence bancaire,Djibouti-ville,Rue de Geneve,,11.5903458,43.1448546,google_places,geolocalise
45,Intercontinental Investment Bank (iib),Services financiers & juridiques,Banque / agence bancaire,finance,banque,Djibouti-ville,"Imm. 15 Rue d'Ethiopie, Place Menelik",+253 21 35 50 06,11.5946151,43.146425,google_places,geolocalise
46,GXA Assurances,Services financiers & juridiques,Assurance,finance,assurance,Djibouti-ville,Ave Georges Clemenceau,+253 21 35 36 36,11.5940973,43.1464142,google_places,geolocalise
47,TRUST Assurance SA,Services financiers & juridiques,Assurance,finance,assurance,Djibouti-ville,Centre-ville,+253 21 25 40 14,11.5954871,43.1476305,google_places,geolocalise
48,Amerga Assurances (siege),Services financiers & juridiques,Assurance,finance,assurance,Djibouti-ville,Ave Georges Clemenceau,+253 21 35 25 10,11.5938102,43.1465604,google_places,geolocalise
49,Amerga Assurances - Aviation,Services financiers & juridiques,Assurance,finance,assurance,Djibouti-ville,Route de l'aeroport,+253 21 34 68 72,11.5599961,43.1537315,google_places,geolocalise
50,Amerga Assurances - Cite Hodan,Services financiers & juridiques,Assurance,finance,assurance,Balbala,Cite Hodan,+253 21 36 60 99,11.5572806,43.0998702,google_places,geolocalise
51,Tamini Insurance SA (takaful),Services financiers & juridiques,Assurance,finance,assurance islamique,Djibouti-ville,Rue du 27 Juin,+253 21 35 04 03,11.5945128,43.1464045,google_places,geolocalise
52,ATIC - African Takaful Insurance Company,Services financiers & juridiques,Assurance,finance,assurance islamique,Djibouti-ville,Rue de Geneve,+253 21 34 00 08,11.5917916,43.1445453,google_places,geolocalise
53,Pool Assurances,Services financiers & juridiques,Assurance,finance,assurance,Djibouti-ville,Centre-ville,+253 21 25 12 88,11.5904755,43.1413501,google_places,geolocalise
54,Speed Zone Controle,Services automobile,Contrôle technique / pneus,services,controle technique auto,Balbala,PK12,+253 77 39 27 40,11.5594029,43.0805666,google_places,geolocalise
55,Hypermarche Al Gamil,Commerce & Courses,Hypermarché / supermarché,commerce,hypermarche,Djibouti-ville,"Zone industrielle Sud, Gabode",+253 21 35 66 59,11.5715639,43.1529288,google_places,geolocalise
56,Supermarche Casino,Commerce & Courses,Hypermarché / supermarché,commerce,supermarche,Djibouti-ville,Haramous,+253 21 32 72 60,11.5719595,43.1603615,google_places,geolocalise
57,Nougaprix Supermarket,Commerce & Courses,Hypermarché / supermarché,commerce,supermarche,Djibouti-ville,Rue de Geneve,+253 21 35 87 50,11.5917427,43.1442309,google_places,geolocalise
58,Hyper (Bawadi Mall),Commerce & Courses,Hypermarché / supermarché,commerce,hypermarche,Djibouti-ville,Bawadi Mall,+253 21 33 70 00,11.59119,43.1326773,google_places,geolocalise
59,Cash Center Supermarket,Commerce & Courses,Hypermarché / supermarché,commerce,supermarche,Djibouti-ville,Heron,+253 21 35 00 76,11.6098454,43.1472767,google_places,geolocalise
60,Supermarche Napoleon,Commerce & Courses,Hypermarché / supermarché,commerce,supermarche 24h/24,Djibouti-ville,Blvd du General de Gaulle,+253 21 35 48 19,11.5876826,43.1520837,google_places,geolocalise
61,Al Gamil Ship Chandler,Transport & Logistique,Transit / fret / shipping,logistique,avitaillement maritime,Djibouti-ville,Zone industrielle,+253 77 13 97 97,11.5715625,43.1529375,google_places,geolocalise
62,Superette Carrefour,Commerce & Courses,Épicerie / supérette,commerce,superette,Djibouti-ville,Ave F. d'Esperey,+253 77 07 58 54,11.612132,43.1490338,google_places,geolocalise
63,LIMO Djibouti - Marketplace,Commerce & Courses,Boutique spécialisée,commerce,e-commerce / livraison,Djibouti-ville,Rue de Moscou,+253 77 39 63 48,11.5940637,43.1479045,google_places,geolocalise
64,Bawadi Mall,Commerce & Courses,Centre commercial,commerce,centre commercial,Djibouti-ville,Bawadi Mall,+253 21 35 28 40,11.5905646,43.1331527,google_places,geolocalise
65,Alrayan Mall,Commerce & Courses,Centre commercial,commerce,centre commercial,Djibouti-ville,Rue Hassan Gouled,,11.5810089,43.1408451,google_places,geolocalise
66,Marche Riyad,Commerce & Courses,Marché traditionnel,commerce,marche,Djibouti-ville,Riyad,+253 77 42 89 90,11.5772573,43.1362272,google_places,geolocalise
67,Marche d'Ambouli (Marche central),Commerce & Courses,Marché traditionnel,commerce,marche,Djibouti-ville,Place Rimbaud,+253 77 10 69 55,11.5913463,43.1463022,google_places,geolocalise
68,Marche de Hayableh,Commerce & Courses,Marché traditionnel,commerce,marche,Balbala,Hayableh,+253 77 23 73 24,11.567363,43.1038284,google_places,geolocalise
69,Kerim Flower Shop,Commerce & Courses,Boutique spécialisée,commerce,fleuriste,Djibouti-ville,Heron,+253 77 03 33 33,11.6103826,43.1459968,google_places,geolocalise
70,Djibah Seafoods,"Industrie, Énergie & Grandes entreprises",Production industrielle,industrie,produits de la mer,Damerjog,Zone Damerjog,+253 77 86 43 60,11.4650325,43.2474327,google_places,geolocalise
71,Mutualis - Centre medical et laboratoire,Santé,Centre médical spécialisé,sante,centre medical,Djibouti-ville,Rue de Geneve,+253 21 25 02 37,11.6024375,43.1478006,google_places,geolocalise
72,CHU de Djibouti,Santé,Hôpital public,sante,hopital public,Djibouti-ville,Ave Marechal Foch,+253 21 35 27 10,11.6080416,43.1531432,google_places,geolocalise
73,Hopital General Peltier,Santé,Hôpital public,sante,hopital public,Djibouti-ville,Ave Marechal Foch,+253 21 35 27 10,11.6083024,43.1531881,google_places,geolocalise
74,Clinique Aden,Santé,Clinique privée / polyclinique,sante,clinique privee,Djibouti-ville,Heron,+253 21 25 32 32,11.6116585,43.15196,google_places,geolocalise
75,Clinique AFFI,Santé,Clinique privée / polyclinique,sante,clinique privee,Djibouti-ville,Centre-ville,+253 21 35 74 74,11.5893686,43.1425563,google_places,geolocalise
76,Djibouti Medical Center,Santé,Centre médical spécialisé,sante,centre medical,Djibouti-ville,Q7 bis,+253 21 35 04 62,11.5731881,43.1419879,google_places,geolocalise
77,Som Clinique - Centre de diagnostic,Santé,Clinique privée / polyclinique,sante,clinique / imagerie,Djibouti-ville,Centre-ville,+253 21 33 50 15,11.595589,43.1480956,google_places,geolocalise
78,La Maison Medicale,Santé,Clinique privée / polyclinique,sante,clinique,Djibouti-ville,Centre-ville,+253 21 35 00 38,11.5897797,43.1413748,google_places,geolocalise
79,Clinique Le Heron,Santé,Clinique privée / polyclinique,sante,clinique privee,Djibouti-ville,Heron,+253 21 34 55 13,11.6106614,43.1508573,google_places,geolocalise
80,Hopital de Balbala Cheiko,Santé,Hôpital public,sante,hopital public,Balbala,Balbala,+253 27 51 38 07,11.5498533,43.1121688,google_places,geolocalise
81,Lycee Francais de Djibouti (Joseph Kessel),Éducation & Formation,École internationale / française,education,lycee francais,Djibouti-ville,RN2,+253 21 33 49 00,11.5667667,43.1517752,google_places,geolocalise
82,International Maarif School of Djibouti,Éducation & Formation,École internationale / française,education,ecole internationale,Djibouti-ville,Haramous/Damerjog,+253 77 15 81 81,11.5257285,43.1449913,google_places,geolocalise
83,Canadian International School Djibouti,Éducation & Formation,École internationale / française,education,ecole internationale,Djibouti-ville,"Saline Ouest, Konya Road",+253 21 25 10 41,11.5907362,43.1386726,google_places,geolocalise
84,Ecole Privee de l'Avenir,Éducation & Formation,Lycée (public / privé),education,ecole privee,Djibouti-ville,Gabode 6,+253 77 13 20 28,11.5658396,43.1460404,google_places,geolocalise
85,International School of Djibouti (ISD),Éducation & Formation,École internationale / française,education,ecole internationale,Djibouti-ville,Gabode,+253 77 01 87 78,11.5627283,43.1461086,google_places,geolocalise
86,QSI International School of Djibouti,Éducation & Formation,École internationale / française,education,ecole internationale,Djibouti-ville,Haramous,+253 21 34 07 09,11.5654142,43.1681434,google_places,geolocalise
87,Lycee d'Etat de Djibouti,Éducation & Formation,Lycée (public / privé),education,lycee public,Djibouti-ville,Blvd du General de Gaulle,+253 77 21 21 21,11.5947637,43.1499195,google_places,geolocalise
88,Ecole Francaise Francoise Dolto,Éducation & Formation,École internationale / française,education,ecole francaise,Djibouti-ville,Plateau du Serpent,+253 21 35 03 32,11.6014653,43.1490738,google_places,geolocalise
89,Universite de Djibouti - Campus Balbala,Éducation & Formation,Université / institut supérieur,education,universite,Balbala,Campus Balbala,+253 21 31 55 55,11.5381486,43.1169962,google_places,geolocalise
90,Institut Superieur des Sciences de la Sante (ISSS),Éducation & Formation,Université / institut supérieur,education,institut superieur,Djibouti-ville,Plateau du Serpent,+253 21 35 52 83,11.6097252,43.152871,google_places,geolocalise
91,CERD - Centre d'Etude et de Recherche de Djibouti,Éducation & Formation,Université / institut supérieur,education,recherche,Djibouti-ville,Route de l'aeroport,+253 21 35 27 95,11.5666408,43.1539247,google_places,geolocalise
92,CFEEF - Centre de Formation des Enseignants,Éducation & Formation,Centre de formation,education,formation des maitres,Djibouti-ville,Centre-ville,+253 21 32 03 00,11.5939108,43.1509695,google_places,geolocalise
93,Institut Confucius de Djibouti,Culture & Culte,Institut / centre culturel,education,institut culturel,Djibouti-ville,Balbala/Saline,+253 21 34 31 58,11.5823144,43.1343449,google_places,geolocalise
94,Institut Djiboutien des Arts,Culture & Culte,Institut / centre culturel,culture,institut des arts,Djibouti-ville,Bd de Gaulle,+253 21 35 20 11,,,google_places,geolocalise
95,Laureat Institute,Éducation & Formation,Centre de formation,education,centre de formation,Djibouti-ville,Rue de Geneve,+253 21 35 50 51,11.5916239,43.1435602,google_places,geolocalise
96,Oxford Training and Consultancy,Éducation & Formation,Centre de formation,education,centre de formation,Djibouti-ville,"Bat. Emeraude, Saline Ouest",+253 21 35 04 40,11.5790179,43.1305909,google_places,geolocalise
97,Institut Africain de Djibouti,Éducation & Formation,Université / institut supérieur,education,institut superieur prive,Djibouti-ville,Gabode,+253 21 35 15 52,11.562435,43.1459314,google_places,geolocalise
98,Institut Francais Arthur Rimbaud (IFAR),Culture & Culte,Institut / centre culturel,culture,centre culturel francais,Djibouti-ville,Rue de Geneve,+253 21 35 35 13,11.5915083,43.1423826,google_places,geolocalise
99,Lycee de Dikhil,Éducation & Formation,Lycée (public / privé),education,lycee public,Dikhil,Dikhil,+253 27 42 00 10,11.1098625,42.3765156,google_places,geolocalise
100,Lycee d'Enseignement Technique et Industriel d'Ali Sabieh,Éducation & Formation,Lycée (public / privé),education,lycee technique,Ali Sabieh,Ali Sabieh,,11.1645769,42.709543,google_places,geolocalise
101,Ministere de l'Education Nationale et de la Formation Professionnelle (MENFOP),Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Bd de la Republique,+253 77 20 31 06,11.5975014,43.148222,google_places,geolocalise
102,Mosquee Al-Hamoudi,Géographie & Patrimoine naturel,Monument / lieu historique,culte,mosquee historique,Djibouti-ville,Place Rimbaud,+253 77 86 57 74,11.5922265,43.1459891,google_places,geolocalise
103,Mosquee Djimaleh Aptidon,Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Pres Bawadi Mall,,11.5934762,43.1351751,google_places,geolocalise
104,Mosquee Al-Nourani,Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Quartier 7,+253 77 23 91 61,11.5759852,43.1449423,google_places,geolocalise
105,Grande Mosquee (Tabligh),Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Q6,,11.5763806,43.1353789,google_places,geolocalise
106,Mosquee Abdulhamid II (Mosquee turque),Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Derriere Salaam Tower,,11.5932834,43.1418668,google_places,geolocalise
107,Mosquee Doha,Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Ave Nasser,+253 77 67 82 63,11.5790349,43.1418648,google_places,geolocalise
108,Mosquee Al Sada,Géographie & Patrimoine naturel,Monument / lieu historique,culte,mosquee historique (1906),Djibouti-ville,Ave Georges Clemenceau,,11.5934573,43.1496695,google_places,geolocalise
109,Mosquee du Prince Salman,Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Route de l'aeroport,+253 77 85 33 00,11.5691936,43.1532216,google_places,geolocalise
110,Mosquee Al-Nadwat,Culture & Culte,Mosquée,culte,mosquee,Djibouti-ville,Aviation,,11.5580968,43.1434212,google_places,geolocalise
111,Mosquee de Dikhil,Culture & Culte,Mosquée,culte,mosquee,Dikhil,Dikhil,,11.1082375,42.3729219,google_places,geolocalise
112,Station-service NOC PK12,Services automobile,Station-service,services,station-service,Balbala,PK12,+253 77 60 07 75,11.5561667,43.0723742,google_places,geolocalise
113,Station UCIG Balbala,Services automobile,Station-service,services,station-service,Balbala,Balbala,,11.5485536,43.1117587,google_places,geolocalise
114,Station-service NOC Golf Oil Marabout,Services automobile,Station-service,services,station-service,Djibouti-ville,Marabout,+253 77 02 34 93,11.6086072,43.1462586,google_places,geolocalise
115,Station NOC Balbala,Services automobile,Station-service,services,station-service,Balbala,RN,+253 77 22 22 28,11.5524703,43.1230247,google_places,geolocalise
116,Station UCIG Rue de Geneve,Services automobile,Station-service,services,station-service,Djibouti-ville,Rue de Geneve,,11.6015342,43.147087,google_places,geolocalise
117,Station Rubis Boulaos,Services automobile,Station-service,services,station-service,Djibouti-ville,Boulaos,,11.5764146,43.1507486,google_places,geolocalise
118,Station Rubis (Bd de Gaulle),Services automobile,Station-service,services,station-service,Djibouti-ville,Bd de Gaulle,+253 77 85 48 15,11.5988139,43.1494313,google_places,geolocalise
119,Station UCIG RN3,Services automobile,Station-service,services,station-service,Balbala,RN3,+253 21 36 35 25,11.5695762,43.1194811,google_places,geolocalise
120,Centrale electrique de Boulaos (EDD),"Industrie, Énergie & Grandes entreprises",Centrale électrique,energie,centrale electrique,Djibouti-ville,Boulaos,,11.5759727,43.1571699,google_places,geolocalise
121,Station d'epuration de Djibouti (ONEAD),Administration & Services publics,Service des eaux / électricité,infrastructure,assainissement,Damerjog,Damerjog,,11.5240602,43.173769,google_places,geolocalise
122,Ragueb Travel Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage,Djibouti-ville,8 Rue de la Mosquee,+253 21 35 06 06,11.5932256,43.1492067,google_places,geolocalise
123,DTTA - Djibouti Travel & Tourism Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage,Djibouti-ville,Centre-ville,+253 21 35 74 44,11.5955624,43.1467947,google_places,geolocalise
124,Nora Travel,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage (Omra),Balbala,Cite Sogik,+253 77 53 20 04,11.5379524,43.123156,google_places,geolocalise
125,Shakirin Travel Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage (Omra),Djibouti-ville,Ave Adm. Bernard,+253 77 86 94 95,11.5954842,43.1457736,google_places,geolocalise
126,ATTA Travel Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage IATA,Djibouti-ville,Bd Pierre Pascal,+253 21 35 48 48,11.5953845,43.1462306,google_places,geolocalise
127,Tata Tour Djibouti,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,tour-operateur,Djibouti-ville,Centre-ville,+253 77 07 01 13,11.5911855,43.1488106,google_places,geolocalise
128,Bacha Travel Tourism Cargo,Transport & Logistique,Transit / fret / shipping,tourisme,agence de voyage / cargo,Djibouti-ville,Centre-ville,+253 21 35 10 00,11.5955371,43.1456598,google_places,geolocalise
129,Djibouti Tour Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,tour-operateur,Region d'Arta,RN1,+253 77 01 84 13,11.3381631,42.6702708,google_places,geolocalise
130,Office National du Tourisme de Djibouti (ONTD),Administration & Services publics,Ministère / institution d'État,tourisme,office du tourisme,Djibouti-ville,"Place Menelik, BP 1938",+253 21 35 28 00,11.594259,43.147845,google_places,geolocalise
131,Universal Travel Agency,Tourisme & Loisirs,Agence de voyage / tour-opérateur,tourisme,agence de voyage,Djibouti-ville,Rue de Soleillet,+253 77 62 02 02,11.5929215,43.1474748,google_places,geolocalise
132,Ambassade des Etats-Unis,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Lot 350-B Haramous,+253 21 45 30 00,11.5639498,43.1671566,google_places,geolocalise
133,Ambassade de France,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Bd Idriss Omar Guelleh,+253 21 35 25 03,11.6077626,43.1512483,google_places,geolocalise
134,Consulat de France,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,consulat,Djibouti-ville,Plateau du Serpent,,11.6027715,43.1549715,google_places,geolocalise
135,Ambassade de Libye,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Heron,,11.6189847,43.1478998,google_places,geolocalise
136,Ambassade de Russie,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Plateau du Serpent,+253 21 35 07 40,11.6091039,43.1517806,google_places,geolocalise
137,Ambassade du Japon,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Plateau du Serpent,+253 77 00 01 00,11.6108232,43.1508679,google_places,geolocalise
138,Ambassade du Yemen,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Plateau du Serpent,,11.6066531,43.1552031,google_places,geolocalise
139,Ambassade du Qatar,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Haramous,+253 21 35 97 97,11.5666772,43.165014,google_places,geolocalise
140,Ambassade de Turquie,Diplomatie & Organisations internationales,Ambassade / consulat,diplomatie,ambassade,Djibouti-ville,Haramous,+253 21 35 12 90,11.5649281,43.1680511,google_places,geolocalise
141,Ministere des Affaires Etrangeres et de la Cooperation Internationale,Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Rue Marchand,+253 21 35 24 71,11.5967392,43.1448558,google_places,geolocalise
142,Ministere de la Femme et de la Famille,Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Q4,+253 21 35 26 12,11.5826771,43.1416509,google_places,geolocalise
143,Ministere delegue charge de la Decentralisation,Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Q4,+253 21 35 97 87,11.5821335,43.1422493,google_places,geolocalise
144,Ministere de l'Enseignement Superieur et de la Recherche,Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Route de l'aeroport,+253 21 32 73 12,11.5665261,43.1538687,google_places,geolocalise
145,Primature de la Republique de Djibouti,Administration & Services publics,Ministère / institution d'État,administration,institution,Djibouti-ville,Centre-ville,+253 21 32 52 13,11.5982996,43.1470974,google_places,geolocalise
146,"Ministere de l'Agriculture, de l'Eau, de la Peche et de l'Elevage",Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Bd de Gaulle,+253 21 35 12 97,11.5898596,43.1531433,google_places,geolocalise
147,"Ministere de la Communication, des Postes et des Telecommunications",Administration & Services publics,Ministère / institution d'État,administration,ministere,Djibouti-ville,Centre-ville,+253 77 71 23 46,11.5945393,43.1454803,google_places,geolocalise
148,Cite ministerielle,Administration & Services publics,Ministère / institution d'État,administration,batiment administratif,Djibouti-ville,Centre-ville,,11.5980699,43.1466639,google_places,geolocalise
149,Palais de Justice,Administration & Services publics,"Justice (tribunal, palais)",justice,palais de justice,Djibouti-ville,Plateau du Serpent (ZPS),+253 77 49 21 66,11.6010594,43.150523,google_places,geolocalise
150,Direction Generale de la Police Nationale,Administration & Services publics,Police / gendarmerie,securite,police,Djibouti-ville,Q4,+253 21 35 11 71,11.5837862,43.1416659,google_places,geolocalise
